Species,Epoch,Age,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29,Comp30,Comp31,Comp32,Comp33,Comp34,Comp35,Comp36,Comp37,Comp38,Comp39,Comp40,Comp41,Comp42,Comp43,Comp44,Comp45,Comp46,Comp47,Comp48,Comp49,Comp50,Comp51,Comp52,Comp53,Comp54,Comp55,Comp56,Comp57,Comp58,Comp59,Comp60,Comp61,Comp62,Comp63,Comp64,Comp65,Comp66,Comp67,Comp68,Comp69,Comp70,Comp71,Comp72,Comp73,Comp74,Comp75,Comp76,Comp77,Comp78,Comp79,Comp80,Comp81,Comp82,Comp83,Comp84,Comp85
Adroichthys tuberculatus,Mississippian,Viséan,0.261329709199835,0.0561091796284731,-0.0675741655055666,-0.0784993967946926,-0.0358412247255898,0.0125263819561328,-0.0424129727794607,0.00980089206758883,-0.00183622845861212,0.0140748409473923,-0.0228230715401022,0.0187334340183542,-0.0130472925469407,0.0319811596669935,-0.0111793146723972,0.0102540536862828,0.0133780157331364,-0.0174288363014576,-0.0140321951680039,0.0077613363117426,0.00268663150434723,0.00170098463347049,-0.00197803273639367,0.00339045886039366,-0.0143982378981724,0.00721804025619012,-0.00596620406879999,0.00242869768257086,-0.0159488932554572,0.00420830151732303,-0.00239321317760596,0.00553638628494006,-0.00313338269077539,0.00454928329966048,-0.00435086355797197,0.0030320168704166,-0.0025202135979931,7.638807146789e-05,0.00138015775702616,-0.0012347505878819,0.000487314108870989,0.00177060639683545,-0.000875673524013067,-0.0021394546097753,0.00125153454575366,0.00132119420977,0.000920482705276229,0.000280714048912433,-0.000432726132641072,-0.000705751333442786,-0.000211004001731121,-0.000502571274744876,-0.000696513145318579,-0.000394648974049575,-8.73178480897592e-05,-7.79809260285573e-05,-0.000618118288015763,0.000697386961342434,0.000146796948217163,0.000193635478674143,0.000150960110096373,0.000248490690607763,3.30757040142504e-05,0.000325517437694462,1.01877758695891e-05,7.1054740685575e-05,0.000114710254416024,0.000348020341247498,0.000221854545535688,0.000103033480451346,0.000112109074691663,9.8782595946722e-05,0.000129452866634196,3.61930011875825e-05,1.7878401266216e-05,0.000124068812962325,6.73825505269356e-05,0.000194069035661596,3.87482888741392e-05,3.32381880517726e-05,2.54121973484022e-05,1.1056052107743e-05,9.56442502821177e-05,5.63678489691605e-05,4.48209005469286e-06
Aesopichthys erinaceus,Mississippian, Serpukhovian,0.170475881539135,0.134511051349028,-0.00652223027075844,-0.0131020591900834,-0.0473974233646991,0.0629916599159966,-0.0262397111417639,-0.00358556136339039,0.00597867445966107,0.00933439988010967,-0.0108524811342101,0.0140657014065144,-0.0114678105760125,0.0345612950827004,0.00490263345301447,-0.0087236876419096,-0.0161061820083166,-0.0180952410268253,0.0053941099674513,0.01544334395752,-0.0117688996189204,-0.00247530503454705,-0.0107541321515458,-0.000109522718729094,0.0104603423933893,0.00550531895317046,-0.00490427850627677,0.00173172464483593,-0.00885453042556102,0.00669944670194771,-0.00252518504749878,-0.00380238267198698,0.00504786260959947,-0.00619936746801557,-0.000317255204016628,-0.000798326545904908,0.00129757494896421,0.00107252946170454,-0.00262354791653715,0.00300738262972609,-0.000250011018040528,-0.00133232974967559,0.00105809361848061,0.00253817295521635,0.00119325515819578,-0.000770695665801502,-0.000734032699542892,0.000456804453432909,-0.000951284045436065,0.000425752618222937,-0.00030574263843321,0.000451366196655032,0.000441493281602077,0.000102296125810465,-0.000486531700495732,-0.00027366481737484,0.000449676508503397,0.000306962860113957,2.74656875374328e-05,-1.56450014586345e-05,0.000535912507930437,-0.000439187001236222,-0.000135346492575332,-9.16023447949006e-05,-0.000137748025856956,-0.000181839368450564,-0.00023697346970687,-0.000366685502679804,-0.000362472617687974,0.000259835299959581,6.75454429572798e-05,5.97015761610005e-05,-1.20935844029595e-06,-7.56518023189655e-05,-0.000285207426195106,-0.000199531171624357,3.55772312300481e-05,-2.56268303276087e-05,-5.65931047965115e-05,4.83525238010323e-05,4.98167076654031e-05,-3.30234944871813e-05,1.72340312621271e-05,7.95886285896727e-05,-6.50209903242573e-06
Aestuarichthys fulcratus,Mississippian,Viséan,-0.0102417501224084,0.0332943647653564,-0.0175829846320118,0.0503440613772879,-0.0282331638158114,0.00890004242878909,0.0130479681024604,0.00227666430577836,-0.0286501092062647,0.00529015350673413,-0.00239010983801813,-0.00927490949760074,0.000399877785957037,0.00275331555238334,-0.0126583965249679,0.0139241028204742,-0.00830900763783948,-0.00899468064946773,0.000858179847798884,-0.00697346084770116,0.0129383313687319,0.0060814253263313,-0.00138284908478501,0.00187303108483481,-0.00577979049288482,-0.0043917459225109,0.00470889737756028,-0.00058385663175295,-0.00136473819569711,-0.000280385237796436,0.00244184224057624,0.000272837479613348,-0.00785892405818494,0.00256894214786092,0.001019203491294,-0.00071177019005574,-0.00260818033091396,7.49286027608188e-05,-0.00213510190537132,-0.0015271509271813,0.000544179926943316,-0.000567772642544036,-0.000612629512424359,0.00148689833454803,-0.00113481269564576,0.000807920137187304,0.00133319661922032,-3.07730489191362e-05,-0.000941064461392199,0.000732034187380701,-0.000753641942453353,-0.000421211569514508,-0.000374811532044545,-0.00037643043885365,9.35694269029428e-06,-0.000783579366559943,6.31498711603463e-05,0.000450529101369039,-0.000227373295375607,-0.000157322021507878,9.98733344193849e-07,0.000268106921227952,-0.000438674159024917,-7.88892708918064e-05,-0.000328084263147523,-0.000355169206012686,0.000214875988413611,-0.000235408381016515,-0.00039008022035509,-0.000103238906443209,-0.000329256378608927,0.000246214814159997,-0.000359816408450613,0.000133334497009518,5.14937083629687e-05,-0.000228938381456278,-0.000157205658372351,-3.00327828954736e-05,-5.67795809180603e-05,-0.00022622791446384,5.98002102987403e-05,4.24405212233406e-05,0.000128580435218388,-0.000145330486606173,8.39587103804459e-05
Aetheretmon valentiacum,Mississippian,Tournaisian,-0.0317389511130272,0.0782678504856219,-0.045618304201284,-0.00251518380643507,0.0203234059684856,-0.00510919495784648,0.0267695123312152,0.000647500363808643,-0.021534100210359,-0.0188897298160244,0.013637993281664,0.00469299203809047,0.013778880409687,0.0296118377298073,-0.00297253319010663,-0.00308806046890745,0.00817729125683063,0.00326158329293179,0.0245228291383378,0.0184388474485684,-0.000444908601138047,0.0264649149668163,0.00883760470066827,-0.0102364235097572,0.00628113576804992,0.00362124221791934,-0.00540230541315132,-0.0116914390965524,-0.0011725150936927,-0.00949008148969297,0.000664520935396527,0.00108726718763569,0.00108748649981239,-0.00480576350279206,-0.000791782096786844,-0.000222675022697633,-0.0035760753033084,0.000695023020562424,0.000264075509810713,-0.000855849960093516,-0.000760046302603038,-0.000291416542486351,0.000537862062582149,0.000329963716412974,-0.000475042715283525,0.000831056940391303,0.000691985850590043,0.000206014669162286,0.000518996996424686,4.74871440948587e-06,5.63221809185263e-05,-0.000609911987582574,0.000144402978381839,0.000693621655591179,-0.000955291702129285,0.00023093052052464,-1.2156184981546e-05,0.000269903202582422,-0.000360597193758358,0.000501811611033141,-4.45085925462656e-05,-0.000309472861064989,-0.000396642185331953,0.000116229506083976,0.000156115849032459,-0.000165739346928914,8.01322634665374e-05,0.000253621518242785,-0.000154993153520396,-0.000307465870361723,0.000242082534844707,0.000105674375150152,8.52740001256711e-05,0.000287519805910304,0.000101393297096246,8.98547301297288e-05,-0.000266674752001098,-3.00928878832395e-05,0.000105643366428867,-8.82122566804945e-05,-4.98535510617704e-06,-1.75759896749733e-05,-8.1426269543388e-05,4.48469855955e-05,-0.000116474779885368
Amphicentrum granulosum,Pennsylvanian,Moscovian,0.376098580264692,-0.0936832848134197,0.00990959981758127,-0.0135736096153658,-0.0141867993467507,-0.0798602908922248,0.0324316402698381,0.0461686504126801,0.0285803068150794,-0.0206452808219426,0.0283661537491534,-0.00686439941469915,0.0701340782962024,-0.0156626883448258,0.00580027484468869,0.0301500356804594,-0.0107400412677832,-0.024106392110117,-0.0160321459456074,0.0201900476957206,-0.00306122145106024,-0.00874502343734811,0.0104474788420867,0.00263452710800741,0.00713872142678915,-0.00404575831081109,0.00405169621279782,-0.00295494203115603,-0.00120226601178732,-0.000781093274033234,-0.00861209161375842,0.00356891083503608,0.00607982202606131,-0.00315710395249439,0.00447681157789319,0.00104959431650026,-0.0035048412366867,-0.00107474952677161,-0.000626466225719521,-0.0007597075899843,0.00240340299967873,-0.00236458444061816,-0.000324984453105606,0.000412564871917872,0.00131033033647401,-1.05461502736153e-05,0.000658888885847308,-0.00058659304669259,-0.000181937428332636,-0.000314413334921815,0.000140917682812856,-0.000231045623008438,-0.000208677586223016,7.65693644269984e-05,4.64274917008375e-05,-0.000261647823546342,0.000280367942094902,-4.46673463661273e-06,0.000116321751872546,1.80534030146855e-05,-0.000159100739242753,9.75181956632922e-05,0.000172249138665538,-0.000159188755590137,-7.66474101891921e-05,-0.000237469529173064,8.29997179542099e-05,7.13714846466316e-05,0.000142959830128057,-2.84188557032744e-05,2.28374936428236e-05,5.20786189160231e-05,7.03723347349936e-05,-9.26331190663689e-05,1.38497317742476e-05,-7.91617461821186e-05,4.11831990588409e-05,3.41798536291379e-06,-9.70232047486755e-06,-6.93379225198806e-06,-7.5694626062283e-06,1.4233662308259e-05,-2.90872750639327e-05,-3.00875192678438e-06,2.90704061299051e-05
Australichthys longidorsalis,Mississippian,Viséan,-0.0304709075048564,0.0530187443709373,-0.0418792626991421,0.0193171043796702,-0.0110576424461064,0.0317014384228151,0.0265864729600551,0.0148480590971828,-0.0186896041672656,0.0113801300615994,-0.0167575956599358,-0.002054866038167,0.0103737559441243,0.000449056580262902,-0.0240669197058864,0.001853590795208,0.0026203514894482,-0.0112527912607376,0.00733308054282061,-0.00686903899896131,-0.00934264311596921,0.00326417362912232,-0.00606273028942181,0.00428704545143958,-0.00230808446602937,-0.00518348613674088,0.00265717492125993,0.000345990722145508,0.00385900489034618,-0.00124377243390661,-0.000861558941363103,0.000587889671103544,-0.00385748654287491,-0.00278911230389312,-0.00325259657054072,-0.00147049805847056,-0.00306487745452117,-0.000335422040887307,-0.000128142079095067,0.00295262618832037,-0.00102707222230106,-0.00231852431304429,-0.00118626626869067,-0.000513606737908883,-0.000711458654313596,0.00108982481000597,-0.000780821453156013,0.00131470344835924,-0.000292381348179686,0.000111430616320554,-3.71634684365055e-05,-0.000148576714647903,-0.00056500652542827,0.000802301364600758,0.000599912659353293,0.000713828229903229,0.000252640500268883,-0.000822397544963403,0.000184360203567445,0.00014465958298926,-1.53821317773379e-05,0.000263147373618102,0.000456949459833926,0.000402673654015445,0.000194313556351838,-0.000238436665709984,0.000698662329146612,-0.000163565962959369,0.000187988423567857,-0.000238976841642157,8.24908525595862e-05,-0.000213269690468258,-0.000101878134541451,-0.000195442862313735,-5.42839570444884e-05,-6.84018102909594e-05,0.000152114041877044,0.000152849616570473,-0.000215437918568078,-2.35806017289967e-05,0.000231614604856308,6.45553833828847e-05,-6.29001602975906e-05,4.47583367078925e-05,-6.47204806334696e-05
Beagiascus pulcherrimus,Mississippian,Serpukhovian,0.0169399081865422,0.0457508191952561,0.0401557054257177,0.0615154106562274,0.0452310047395178,0.0436446589414505,-0.0185239347157938,-0.00807051175534941,0.00240731607052702,0.00943669410308796,0.0259590977218411,-0.0138769444797667,-0.00248848658353246,0.0275973306687466,0.00977028393378923,0.012913432350219,0.00575755519700792,-0.000775605454238191,-0.0130727848012832,0.0114641629690142,0.00697921186223864,0.00129955331205601,0.00124861352977081,-0.00611004610366517,0.0021748402653658,-0.0109429841015975,0.00247070089905075,-0.000902367171804106,0.008074363898446,-0.00423588031648296,0.000771519942814914,-0.00629328345099122,-0.00407761854211869,-0.00181652941747192,-0.00610378457692293,0.00125537661533049,-0.00216854129618729,-0.00336650046607744,0.00198938259237508,0.000953062135659181,0.00127703207162989,0.000452541916277268,0.00028607020531352,-0.000760643917650961,0.00181482981484644,5.89733855697457e-05,-0.000237744413547027,-0.00184443160767789,0.000256278512317233,0.00100140443053883,-0.00146008910324229,0.00160464703209715,-0.000161362539283649,0.000288905287488245,-0.000800113922666602,-0.000749108865581269,-0.000559994859320322,-0.000447935670205742,0.000541696546141192,0.000413092854295751,-0.000503964385295731,0.000491237016035684,0.000249017964648106,7.2411742240432e-05,1.59986375232934e-05,0.000202952233459214,-0.000173259663976881,-0.000254527030201926,-3.72169258564079e-06,3.26456818061376e-05,-8.55879045248587e-05,5.333862408545e-05,-0.00013249298655382,-0.000122853311490161,6.52411902123902e-05,8.79643788261185e-05,2.19398874352874e-05,-2.51163137587485e-05,0.000106720981042619,4.61284278854232e-05,0.000118903767101015,-5.40014495843222e-05,2.51415234929916e-05,1.57016271657169e-05,-2.82757129333728e-05
Bourbonnella guilloti,Pennsylvanian,Kasimovian,0.17012144696739,-0.0150873503291471,0.0237301559340513,0.0370832852730402,-0.0763997180360844,0.0415466832242921,0.0899346715085266,-0.0159609864382238,0.00113541539226214,-0.0252948244785987,0.0226726724821613,-0.0249440045441503,0.0121395758153331,0.0259511866117689,9.53652399300403e-06,0.0118042334852257,0.00387557878256049,0.00780008116098751,0.0136613703641608,-0.0213451365439334,0.00291027684672086,-0.000107360038178171,-0.00213361555213778,0.0051151459166676,-0.0167171140606013,0.0130832694834297,0.00881445702316257,-0.00897995393717792,-0.00516378736504543,-0.0123072137176717,-0.000844116174421105,-0.00501856434831709,-0.00277211778457705,0.00218434065978947,-0.000624511667894418,-0.00543500601099212,0.00422805115999091,0.00152222921561122,-0.000401960383483919,-0.00030438390033954,0.000995738738180657,-0.000267092726260963,-0.000405494017641842,0.000372694303326865,0.00212878677561399,-0.00125107177334497,-0.000898245828098089,-0.000527978191058637,-0.000429007629694678,-9.52042049863038e-05,-7.1539923576976e-05,-0.000171039473536906,-0.000714608833028684,0.000270758797654814,-0.000150582357693433,0.000361705092094521,-0.000804122537676957,-8.16951785373855e-06,0.000202072601833156,-0.000319473348822764,0.000114344090864444,-2.37244319615929e-05,-1.44470098724194e-05,-0.000221539238417254,9.80076303415899e-05,7.44370248923736e-05,3.23393550445069e-05,7.93944351596323e-05,0.000115756856103143,0.000256634903172989,-0.00013982262034504,-0.000177089453152024,0.000216225604701166,3.03922277368471e-05,-0.000151310763686916,-2.31410281495543e-05,2.60721158507169e-06,1.0444357571165e-05,-2.26785338568779e-05,-6.29144491924073e-05,-4.38753213821792e-05,-5.53283899130904e-05,-2.36324570616836e-05,-7.29156564197204e-06,-2.04226033585699e-06
Canobius elegantulus,Mississippian,Viséan,0.245743892839901,-0.0366980479966327,0.0621825700439528,0.00421090215120941,-0.0647404355112748,0.0743753929901811,0.0202239737576068,-0.0113795175841938,0.00831136207000998,0.000314683178866399,0.0169446445995676,-0.0102456656161026,-0.00939512338591064,0.00519249614953516,0.0377277622262849,0.00280957571300672,-0.0150681878742382,0.00949468938451492,-0.00300665623478075,-0.0175736359937765,-0.00550649205964587,-0.00200844389923879,0.0145398114734336,-0.00600008538767668,-0.00034340231445533,0.00682820295777452,-0.0145319939743722,0.00637648902769537,0.00525181067622403,0.000319511796804156,0.000748397427379905,0.00056101865251928,-3.39649140033398e-05,-9.76832226059787e-05,0.0018405911487124,0.00283416063172147,-0.00316852395852174,0.00395662144102633,0.0036913261195918,-0.00210711021603321,-0.0014980984032828,0.00176139372317986,0.000406087145627056,-0.000899402223998616,-0.000144288330355813,0.001015398179313,0.00184461220608711,0.000952533615035216,0.000492822332244873,-0.000793987622556771,-0.00011180863117193,0.000612766215808678,9.18833535602679e-05,-0.000207184144349681,5.28703475014133e-05,2.7305361189724e-06,0.000592094771449711,-2.56825221536309e-06,0.000642124268648079,-3.68691029343261e-05,-8.74043823320403e-05,-0.000453499235787662,-0.00020991163684877,-6.31262481836162e-05,2.35444497336144e-05,0.000241782652609706,0.000258040734395701,-7.74672066491083e-05,-0.000118891926130519,0.000195135441670936,-7.87965495868612e-05,-3.55917855444053e-05,6.88254204259794e-05,-0.000195347014709113,0.000189830314598563,-0.000240903924610583,-7.09566310143014e-05,-0.000141906548469464,-6.56953135847222e-05,-4.35274569387695e-05,0.000109294584345478,4.98819327848677e-05,-5.69822915844108e-05,1.95122962709255e-05,-2.01171772905082e-05
Canobius ramsayi,Mississippian,Viséan,0.183688452821541,-0.00569725726900757,0.0512663108109283,0.0872874774593586,-0.0403003020184282,0.0584685640546304,-0.00816286486085106,-0.0352951412407336,0.00132812573639191,-0.00083644534234896,-0.020357484758686,0.0110586748466079,-0.00553787104010896,-0.0200688312237114,0.00808640773804802,-0.0163337506323083,-0.0148057401204052,0.0106178232571225,-0.00426963181828957,-0.006201966011426,0.00866826365582394,0.0202624141996206,0.0191604230904969,-0.00890751975348902,-0.00288256103776379,-0.00770132417092323,-0.00276211567395189,-0.00432642298353385,-0.00310085886886507,0.00810494436498989,-0.00895029652626592,0.00777801018905899,0.00151391998182676,-0.00472924410998058,-0.000516699739161267,-0.00282181324421605,0.00218241326831424,0.00121084599943643,-0.00164569195240491,0.00213666714737399,0.00231581758821624,-0.000658797398886172,-5.38323482704418e-06,-0.00109740684794767,-0.000353867628500973,0.000628699180989975,-0.00190380335531744,-0.000779913042779956,-8.05518351464616e-05,-0.00163629425072834,-0.00132067034352599,-0.000248686061172689,4.64807619887904e-05,0.000180643919332502,0.00055458818532188,4.95200050292079e-05,0.00022625138481136,-0.000157956093850321,-0.000631167512436302,0.000110432801099511,-0.000165102689425884,0.000551300366166845,-0.000368311937669623,1.93467541249382e-05,0.000119878366538397,-0.000177838732071122,-5.61024591959327e-05,-8.11402937195482e-05,8.43768134962091e-05,-7.03280237917699e-05,-0.000104310875894551,-1.18937346260065e-05,0.000103450861936014,-2.1664738955009e-05,8.74078847286964e-05,0.000125063557376717,9.25421492792462e-06,-0.000104224236434709,1.2321442381964e-05,6.69383070105005e-05,-5.17811988332588e-05,3.0079324222777e-05,7.26278073511799e-05,-1.32913557330039e-05,-1.73281541073465e-05
